age,household_income,gender,store_location,typical_queue_wait_time,distance_to_store,percent_self_service_checkout_uses,children,fruit_and_veg_items,meat_items,cupboard_items,frozen_items,toiletries_items,other_items,has_loyalty_card,brand_loyalty,typical_visit_time,typical_shopping_mission,brings_own_bag,average_time_in_store,typical_payment_method,satisfaction,Customer_Comment
75,49573,Female,Dereham,17.5,0.6,0.04,2,6,2,6,2,0,5,Yes,Medium,Morning,Top-up,No,68.8,Cash,Medium,
73,33474,Non-binary,Fakenham,12.1,1.7,0.02,1,9,2,2,1,0,7,No,Medium,Afternoon,Top-up,Yes,49.9,,Low,
20,47193,Female,Dereham,5.8,1.9,0.85,0,2,2,4,1,0,1,Yes,Medium,Afternoon,Top-up,Yes,43.8,Google Pay,High,"Generally a positive visit at the weekend doing some bits for dinner. surprisinglythe loyalty discounts worked smoothly, and the store felt well staffed."
53,42747,,Fakenham,18.2,2.3,0.18,2,3,11,7,9,0,2,Yes,Medium,Evening,Weekly shop,No,92.8,Cash,Low,
75,55672,Female,Thetford,5.8,1.2,0.02,0,4,10,7,2,2,1,No,Medium,Afternoon,Weekly shop,Yes,50.9,Cash,Medium,
39,28757,Female,Dereham,11.7,,0.37,2,12,6,3,5,2,6,No,Medium,Morning,Weekly shop,No,51.5,Unknown,High,
27,24830,Female,Dereham,16.4,1.8,0.37,1,4,7,12,14,9,1,No,High,Morning,Bulk shop,Yes,57.1,Apple Pay,Medium,An average visit overall this morning doing just a couple of items. in placesthe fresh areas looked spotless. Signage wasn’t clear. Room to improve in places.
25,48704,Male,Fakenham,11.2,0.9,0.74,1,11,10,22,6,6,0,Yes,Medium,Evening,Bulk shop,Yes,59.1,Card,Very High,"Excellent experience on my way home doing just a couple of items. parking was easy, and help was available when I needed it. Self-checkout was smooth. Keep it up — brilliant service."
283,46007,Male,Dereham,11,1.7,0.49,0,10,5,11,3,4,1,Yes,Low,Afternoon,Weekly shop,No,55.3,Apple Pay,High,Pretty pleased with how it went at the weekend doing some bits for dinner. genuinelythe shelves were well stocked.
49,47741,Female,Wymondham,16.5,,0.06,1,18,5,5,3,3,4,Yes,Medium,Morning,Weekly shop,Yes,64.5,Card,Low,A bit disappointing overall this afternoon doing some bits for dinner. loyalty pricing was confusing and I had to wait for an approval at self-checkout. The fruit and veg selection looked tired. The gates kept beeping for no reason. I expected more.
42,48990,Female,Dereham,12.9,2.4,0.35,3,15,9,8,4,5,5,No,High,Afternoon,Weekly shop,No,94.1,Card,Low,
42,55288,Male,Norwich,12,,0.46,1,7,1,5,2,2,4,No,Low,Afternoon,Top-up,Yes,85.9,Card,Medium,"An average visit overall this afternoon doing a full weekly shop. the queue barely moved, and meat and veg looked excellent."
44,44839,Male,Dereham,14.4,1.9,0.32,3,4,10,15,19,6,2,No,Medium,Morning,Bulk shop,Yes,64.9,Unknown,Medium,
325,63298,Non-binary,Norwich,22,4,0.01,0,15,13,4,2,0,2,Yes,High,Evening,Weekly shop,Yes,48.2,Card,Very Low,"Not acceptable today at the weekend doing some bits for dinner. genuinelyeveryone looked stretched. A couple of things i picked up were bruised, and click & collect was delayed. I’ll be shopping elsewhere next time."
40,55312,Male,Dereham,11.1,1.7,0.57,3,5,17,13,16,6,2,No,High,Afternoon,Bulk shop,No,87.1,Card,Medium,"Neither great nor terrible this morning doing a quick top-up shop. the layout was easy to navigate. That said, my order was ready on time. Room to improve in places."
332,22610,Male,Norwich,9,1.7,0.34,0,4,1,2,1,1,4,Yes,High,Evening,Top-up,No,42.4,Apple Pay,High,
34,14923,Female,Dereham,8,1.2,0.47,0,2,1,7,0,1,3,Yes,Low,Evening,Top-up,Yes,47.5,Card,Very High,
75,33883,Female,Wymondham,10.4,1.7,0.08,0,3,4,22,17,7,4,Yes,Medium,Afternoon,Bulk shop,No,105.5,Unknown,High,"Generally a positive visit after work doing some bits for dinner. it felt safe and well organised, and the store felt well staffed. Good enough that I’ll come back."
59,77237,Male,Wymondham,19.4,4.3,0.07,0,2,11,4,15,5,0,No,Medium,Afternoon,Bulk shop,Yes,65.2,Cash,Low,
61,11947,Male,Fakenham,10.4,,0.07,0,10,0,2,1,0,2,Yes,Low,Evening,Top-up,No,48.4,Card,Low,"Left feeling underwhelmed on my way home doing a full weekly shop. I couldn’t find anyone on the shop floor, and produce didn’t look fresh. Self-checkout kept flagging errors, and i had to query a price at the till."
45,150327,Other,Thetford,21.9,3.8,0.09,0,5,1,1,0,0,4,No,Medium,Evening,Top-up,Yes,80.5,Card,Very Low,"Honestly, this was a frustrating shop at the weekend doing a few essentials. the machine rejected my card once, and only a couple of tills were open. Several shelves were empty."
67,38396,Female,Dereham,14.2,2.3,0.07,0,4,0,1,0,0,7,No,Medium,Afternoon,Top-up,No,106.2,Card,Very Low,
75,26378,Female,Fakenham,16.9,5,0.09,1,13,5,8,5,1,4,No,Medium,Morning,Weekly shop,No,78.7,Cash,Low,
37,,Female,Norwich,11.4,4.9,0.2,3,11,13,7,5,4,2,No,Medium,Evening,Weekly shop,Yes,67.2,Card,Very Low,
64,,Female,Wymondham,5.3,3.8,0.14,0,5,0,1,1,0,4,No,Medium,Morning,Top-up,No,53.9,Card,Medium,
60,30432,Male,Norwich,13.8,1.2,0.03,1,4,1,3,1,1,6,No,Medium,Morning,Top-up,No,62.4,Card,Medium,
70,11312,Male,Wymondham,12,2.1,0.04,0,8,1,2,0,0,5,Yes,Medium,Evening,Top-up,No,49.9,Card,Medium,"It was fine, nothing special this afternoon doing a full weekly shop. I was served quickly, and click & collect was delayed. The store was clean. Fine for a quick shop."
62,10032823,Male,Dereham,18.5,2,0.05,0,4,2,3,1,0,5,No,Medium,Morning,Top-up,No,91.2,Card,Very Low,"Really unhappy with this visit this morning doing a quick top-up shop. the fruit and veg selection looked tired, and the gates kept beeping for no reason. I’ll be shopping elsewhere next time."
52,48447,Male,Thetford,18.9,3.1,0.06,2,10,7,7,3,1,8,No,Medium,Afternoon,Weekly shop,Yes,68.7,Cash,Very Low,Really unhappy with this visit at the weekend doing some bits for dinner. prettythere didn’t seem to be enough staff and popular items were missing.
45,55225,Male,Norwich,15.5,3.4,0.37,1,9,3,7,3,1,3,No,High,Evening,Weekly shop,Yes,72.6,Cash,Low,A bit disappointing overall this morning doing some bits for dinner. seriouslymy order wasn’t ready when I arrived. Hope it’s better next time.
75,36440,Female,Wymondham,6.3,,0.25,0,6,4,4,1,6,2,Yes,Medium,Morning,Weekly shop,No,46.1,Card,Very High,
59,35415,Male,Norwich,9.8,1,0.15,0,7,8,3,3,1,2,Yes,Medium,Afternoon,Weekly shop,No,64.3,Card,Medium,An average visit overall on my way home doing just a couple of items. getting out took longer than it should have. Fine for a quick shop.
75,29229,Female,Norwich,8.4,3.8,0,0,8,5,6,7,2,1,Yes,Medium,Evening,Weekly shop,Yes,86.9,Card,Low,
59,61684,Male,Fakenham,14.9,1.3,0.05,1,8,6,2,6,2,2,Yes,Medium,Afternoon,Weekly shop,Yes,62.5,Card,Low,"Not the best visit after work doing a few essentials. prettyI had to change my meal plan because things weren’t there, and the car park felt cramped. My order wasn’t ready when i arrived."
58,42843,Female,Thetford,11.6,3.2,0.2,2,9,6,13,13,8,0,Yes,Medium,Morning,Bulk shop,Yes,115.6,Cash,Medium,"It was fine, nothing special on my way home doing a full weekly shop. at timesmy order wasn’t ready when I arrived. I couldn’t find the discounts advertised."
54,30353,Male,Thetford,8.1,,0.33,3,5,4,6,3,0,5,Yes,Medium,Evening,Top-up,Yes,75.8,Unknown,Very High,
40,31569,Female,Norwich,10.1,0.8,0.16,0,9,1,1,2,0,2,Yes,High,Evening,Top-up,Yes,67.4,Card,Low,Left feeling underwhelmed this morning doing a bigger shop than usual. genuinelyit was hard to get help. Some items were near expiry and the machine rejected my card once.
61,,Female,Dereham,10.2,1.2,0.23,0,4,5,9,4,4,2,Yes,Low,Afternoon,Weekly shop,No,89,Card,High,I was happy with my visit after work doing a few essentials. quiteeverything I needed was in stock and everything was where I expected it to be.
39,129262,Other,Thetford,18.6,1.5,0.78,3,8,9,3,2,1,7,No,Medium,Evening,Top-up,Yes,54.5,Card,Very Low,Not acceptable today this morning doing some bits for dinner. genuinelyI had to query a price at the till. Signage wasn’t clear. It needs serious improvement.
47,49795,Male,Fakenham,13,2.6,0.06,0,22,7,9,9,3,1,Yes,High,Evening,Bulk shop,Yes,79.9,Card,Low,"A bit disappointing overall this afternoon doing a quick top-up shop. genuinelythere were spillages that hadn’t been dealt with, and signage wasn’t clear. I couldn’t find basic staples. I expected more."
37,23057,Male,Norwich,12.5,,0.62,2,2,7,30,10,9,2,Yes,Low,Evening,Bulk shop,No,69.5,Unknown,High,
37,46306,Male,Fakenham,12.6,2.1,0.23,3,4,7,12,7,3,4,Yes,Medium,Morning,Weekly shop,Yes,105.1,Card,Medium,Neither great nor terrible this morning doing a few essentials. in placespayment was quick and easy. It did the job.
32,,Male,Wymondham,8,1,0.58,1,7,8,12,5,5,2,Yes,Low,Afternoon,Weekly shop,Yes,56.8,Apple Pay,Very High,
63,15050,Male,Fakenham,10.2,1.1,0.13,0,6,2,12,3,2,1,Yes,Low,Morning,Weekly shop,Yes,64.1,Card,Very High,
67,68781,Male,Dereham,18.4,,0.02,0,5,3,2,1,1,2,No,High,Morning,Top-up,Yes,70.2,Cash,Very Low,Very disappointing experience this afternoon doing a full weekly shop. genuinelythe security barriers were annoying. I asked for help and felt brushed off. Left feeling quite annoyed.
75,12210,Female,Norwich,10.6,1.7,0.03,1,8,3,14,12,13,1,Yes,Medium,Evening,Bulk shop,No,94.3,Card,High,"Pretty pleased with how it went today doing some bits for dinner. verythe team were really helpful. Although, only a couple of tills were open and the layout was easy to navigate."
47,39829,Female,Fakenham,12.8,1.4,0.14,1,6,1,0,2,2,5,Yes,High,Afternoon,Top-up,No,72.8,Card,Medium,Neither great nor terrible at the weekend doing some bits for dinner. somewhatthe store felt well staffed.
35,20520,Female,Wymondham,7.2,1.2,0.55,1,5,2,2,3,1,2,Yes,Low,Evening,Top-up,Yes,71,,High,
55,131325,Male,Fakenham,17.8,1.3,0.04,0,10,3,8,3,5,1,No,Medium,Morning,Weekly shop,Yes,67.5,Apple Pay,Very Low,
56,42621,Male,Wymondham,17.2,2.8,0.05,1,10,3,4,2,0,3,No,Medium,Morning,Top-up,Yes,79.9,Cash,Very Low,Really unhappy with this visit today doing just a couple of items. it was difficult to find a space. Checkout took ages and aisles were awkward to navigate. Left feeling quite annoyed.
37,40292,Male,Fakenham,15.8,1.2,0.49,1,10,4,19,10,6,1,No,Medium,Afternoon,Bulk shop,No,80.1,Cash,Medium,
31,,Female,Fakenham,10.7,1.8,0.47,0,3,7,16,7,3,9,Yes,High,Morning,Bulk shop,Yes,58.7,Card,Medium,
75,46693,Female,Dereham,15,0.8,0.02,0,4,3,2,1,0,3,Yes,High,Evening,Top-up,Yes,81.1,Google Pay,Medium,
75,72276,Female,Wyymondham,9.4,,0.05,0,4,0,2,2,0,2,No,High,Morning,Top-up,No,61.4,Card,Medium,An average visit overall on my way home doing a few essentials. a bitthe store felt messy and popular items were missing. It felt safe and well organised. Room to improve in places.
40,43169,Male,Fakenham,18.5,1,0.32,3,16,6,6,1,1,12,No,High,Evening,Weekly shop,No,72.9,Cash,Very Low,"Honestly, this was a frustrating shop after work doing a bigger shop than usual. popular items were missing, and only a couple of tills were open. Prices felt high, and some items were near expiry."
59,26753,Male,Fakenham,12.9,2.3,0.02,2,5,6,14,7,7,1,No,High,Evening,Bulk shop,Yes,58.9,Card,Low,Not the best visit at the weekend doing a bigger shop than usual. quitethe security barriers were annoying.
61,29539,Non-binary,Wymondham,9.9,1.5,0.05,1,5,2,13,7,2,3,No,Medium,Afternoon,Weekly shop,Yes,69.9,Card,High,A good experience overall at the weekend doing some bits for dinner. pleasantlythe loyalty discounts worked smoothly and signage made things easy to find. The entrance and exits felt well managed.
21,28695,Female,Dereham,7.7,1.5,0.93,0,5,2,16,4,2,2,Yes,Low,Evening,Weekly shop,No,60.6,Apple Pay,Very High,
48,44047,Female,Wymondham,13.3,1.6,0.19,3,11,10,13,10,1,7,No,Medium,Morning,Bulk shop,No,64.1,Cash,Medium,An average visit overall on my way home doing a few essentials. at timeseveryone looked stretched. The shop felt well looked after.
72,49377,Female,Dereham,16.5,,0,0,8,2,2,3,1,4,No,High,Evening,Top-up,No,120.3,Card,Very Low,"Honestly, this was a frustrating shop this morning doing just a couple of items. the store felt messy, and To be fair, staff were polite and approachable. Getting out took longer than it should have. I’ll be shopping elsewhere next time."
61,36042,Female,Norwich,15.7,0.9,0.01,1,11,5,5,3,6,2,No,Medium,Afternoon,Weekly shop,No,65.7,Cash,Low,"I wasn’t very impressed this time today doing a quick top-up shop. the queue barely moved, and prices felt high."
46,47184,Male,Fakenham,12.4,9.4,0.1,1,11,3,3,13,2,4,Yes,Medium,Evening,Weekly shop,Yes,62.5,Card,Very Low,Very disappointing experience this afternoon doing a few essentials. everyone looked stretched and it took ages to pay. Aisles were awkward to navigate. Left feeling quite annoyed.
56,30519,Male,Fakenham,16.2,6.1,0.07,0,11,6,4,4,1,1,Yes,Medium,Evening,Weekly shop,Yes,70.3,Card,Very Low,"Really unhappy with this visit today doing just a couple of items. the car park felt cramped. I couldn’t find basic staples and to be fair, checkout was quick. Left feeling quite annoyed."
27,17744,Female,Wymondham,8.9,1.3,0.67,2,4,10,14,14,7,1,No,Medium,Morning,Bulk shop,Yes,95.9,Card,Very High,"Superb visit — very happy after work doing a quick top-up shop. plenty of parking available, and help was available when I needed it. The layout was easy to navigate. This is why I keep coming back."
22,32585,Male,Wymondham,9.6,0.9,0.56,0,2,11,16,12,9,0,Yes,Low,Morning,Bulk shop,No,49,Card,High,A good experience overall on my way home doing some bits for dinner. the layout was easy to navigate. The loyalty discounts worked smoothly. Substitutions were sensible and the till staff were efficient.
20,23959,Female,Wymondham,13.9,1.5,0.58,0,5,1,1,2,0,5,Yes,Low,Morning,Top-up,Yes,76.9,Apple Pay,Very High,"Really great shop from start to finish on my way home doing a quick top-up shop. veryself-checkout was smooth, and the store felt well staffed. Absolutely spot on."
335,48032,Female,Dereham,10.5,,0.42,1,8,4,13,3,5,4,Yes,Low,Morning,Weekly shop,No,78.9,Card,Very High,Top-notch service today this afternoon doing a full weekly shop. the fresh areas looked spotless and signage made things easy to find. I found good deals without hunting. Keep it up — brilliant service.
39,38256,Non-binary,Thetford,12.5,9.1,0.58,2,15,5,13,8,7,1,No,High,Afternoon,Buglk shop,Yes,32.4,Card,Very Low,"Really unhappy with this visit this morning doing a full weekly shop. pricing on the shelf didn’t match the till, and Still, a colleague helped me find what I needed. Signage wasn’t clear. It needs serious improvement."
32,31972,Non-binary,Wymondham,12.1,1,0.55,0,4,1,2,0,0,2,Yes,Medium,Morning,Top-up,No,40,Card,Very High,"Top-notch service today today doing a few essentials. surprisinglyit was easy to get around, and prices felt reasonable. Someone on the floor actually walked me to the right aisle. Bakery items were great and that said, everyone looked stretched. This is why I keep coming back."
30,30379,Male,Dereham,12.4,1.1,0.65,2,17,7,16,,13,1,Yes,Medium,Morning,Bulk shop,No,52.8,Card,Very High,
36,26661,Female,Norwich,10.1,3.3,0.23,1,4,1,22,8,1,2,Yes,Low,Morning,Bulk shop,Yes,55.5,Card,Medium,"A fairly standard shopping trip on my way home doing a full weekly shop. a bitaisles were awkward to navigate, and pricing on the shelf didn’t match the till. Fine for a quick shop."
59,54617,Male,Thetford,8.9,0.9,0.17,0,3,14,14,5,6,1,Yes,Medium,Evening,Bulk shop,No,92.6,Card,High,"Generally a positive visit this morning doing a full weekly shop. reallyfresh items were well replenished and I found good deals without hunting. Payment was quick and easy. Although, my order wasn’t ready when i arrived and the layout was easy to navigate. Overall, a solid experience."
20,46066,Female,Wymondham,5.5,,0.47,0,4,1,14,5,2,2,Yes,Medium,Morning,Weekly shop,No,61.1,Google Pay,Very High,"Really great shop from start to finish at the weekend doing some bits for dinner. plenty of parking available. Click & collect was efficient, it was easy to get around, and it felt safe and well organised. I’d definitely recommend it."
58,16758,Male,Wymondham,14.2,,0.33,0,4,1,4,2,0,1,Yes,Medium,Afternoon,Top-up,Yes,84.8,Card,High,
51,19530,Male,Norwich,7.7,0.9,0.39,2,7,14,27,5,4,2,Yes,Low,Afternoon,Bulk shop,No,74.9,Card,Very High,
27,24784,Male,Norwich,,1.1,0.37,1,13,2,1,2,1,2,Yes,High,Afternoon,Top-up,No,47.4,Apple Pay,Low,I wasn’t very impressed this time on my way home doing a quick top-up shop. aisles were awkward to navigate. My order wasn’t ready when i arrived.
66,35131,Male,Norwich,16,2.1,0.06,0,8,2,1,0,1,4,No,High,Evening,Top-up,No,58.4,Card,Very Low,
58,17874,Female,Norwich,12.3,0.9,0.16,1,7,4,14,7,7,6,Yes,Low,Evening,Bulk shohp,Yes,72.4,Card,Medium,"A fairly standard shopping trip at the weekend doing a bigger shop than usual. at timesit was easy to get around. Self-checkout was smooth. No major complaints, but nothing stood out either."
27,34876,Male,Norwich,13.4,,0.55,2,9,3,9,2,4,6,Yes,Medium,Morning,Weekly shop,No,61.2,Card,Medium,"It was fine, nothing special this morning doing a full weekly shop. at timesmy order was ready on time and I found good deals without hunting. No major complaints, but nothing stood out either."
58,66498,Prefer not to say,Thetford,12.3,2.3,0.01,0,9,6,7,8,3,5,No,High,Evening,Bulk shop,No,61,Cash,Very Low,
62,45989,Female,Dereham,16.6,3.2,0.01,0,7,2,2,0,1,3,Yes,High,Afternoon,Top-up,No,39.9,Card,Very Low,"Honestly, this was a frustrating shop on my way home doing a full weekly shop. especiallyit was hard to find things and getting out took longer than it should have. Left feeling quite annoyed."
55,32338,Female,Fakenham,12,,0.11,0,3,2,2,1,0,4,No,High,Afternoon,Top-up,No,78.4,Cash,Medium,An average visit overall this morning doing a full weekly shop. in placesmy order wasn’t ready when I arrived and signage wasn’t clear. Bakery items were great. Room to improve in places.
63,18275,Female,Dereham,8.6,1.1,0.27,0,6,1,2,2,1,2,Yes,Low,Evening,Top-up,No,46.9,Cash,High,"Generally a positive visit this morning doing a bigger shop than usual. reallyAlthough, everyone looked stretched, and the receipt matched the shelf prices. Overall, a solid experience."
31,37344,Male,Dereham,16.3,4.6,0.47,0,3,1,1,,0,3,Yes,Medium,Afternoon,Top-up,Yes,49.6,Card,Low,
42,47097,Male,Norwich,23,2,0.15,1,15,6,4,2,2,5,No,High,Afternoon,Weekly shop,No,93,Card,Very Low,Really unhappy with this visit today doing a few essentials. checkout took ages and there were spillages that hadn’t been dealt with. The machine rejected my card once. I don’t plan to return soon.
47,74950,Female,Wymondham,6.3,1.1,0.49,0,8,3,3,5,0,3,Yes,Low,Afternoon,Weekly shop,Yes,45.2,Card,Medium,A fairly standard shopping trip on my way home doing some bits for dinner. in placesthe layout was easy to navigate. It did the job.
47,33111,Female,Dereham,9.5,2.2,0.63,3,6,2,6,2,1,11,Yes,Medium,Evening,Top-up,No,70.3,Cash,Very High,Top-notch service today on my way home doing some bits for dinner. the receipt matched the shelf prices and staff opened another till quickly. Keep it up — brilliant service.
40,19784,Male,Norwich,9.3,2.1,0.56,0,4,1,3,1,1,6,Yes,Low,Afternoon,Top-up,No,45.4,Cash,Very High,
56,58437,Female,Wymjondham,18.2,,0.04,1,15,6,10,4,2,2,Yes,High,Morning,Weekly shop,Yes,95.9,Card,Very Low,
52,22710,Male,Nrwich,10.1,0.7,0.37,1,6,2,3,2,1,4,Yes,Low,Afternoon,Top-up,Yes,75.5,Card,Very High,Superb visit — very happy this morning doing some bits for dinner. surprisinglyqueues moved fast and the fresh areas looked spotless. A colleague helped me find what i needed.
37,40413,Male,Norwich,11.8,1.8,0.27,1,4,1,6,2,1,4,Yes,Medium,Evening,Top-up,No,60.4,Apple Pay,Medium,"It was fine, nothing special today doing a bigger shop than usual. in placesstaff were polite and approachable and bakery items were great."
20,35833,Non-binary,Dereham,13.6,4.6,0.54,0,9,1,1,1,0,2,Yes,Medium,Evening,Top-up,Yes,67.1,Apple Pay,Medium,
20,83172,,Fakenham,14,,0.57,0,17,3,4,4,4,1,No,High,Morning,Weekly shop,Yes,103.8,Card,Low,
43,90467,Female,Dereham,19.3,2.2,0.04,2,14,2,2,2,1,4,No,High,Evening,Top-up,Yes,64.3,Card,Very Low,
20,28336,Male,Fakenham,12.7,1.8,0.21,1,15,6,4,5,1,7,No,Medium,Evening,Weekly shop,No,44.2,Google Pay,Very Low,Very disappointing experience at the weekend doing some bits for dinner. pricing on the shelf didn’t match the till. I don’t plan to return soon.
34,,Non-binary,Norwich,7.8,1.6,0.45,1,2,3,3,2,0,5,Yes,Medium,Evening,Top-up,No,49,Apple Pay,High,"Generally a positive visit on my way home doing just a couple of items. customer service was excellent, and the till staff were efficient. Would recommend based on today."
20,,Male,Dereham,17.1,1.4,0.41,1,12,5,5,4,2,2,No,High,Evening,Weekly shop,Yes,86.6,Card,Very Low,Not acceptable today this morning doing just a couple of items. prettyaisles were cluttered. Left feeling quite annoyed.
75,49676,Male,Wymondham,9.4,1.1,0.02,0,2,1,1,1,1,4,Yes,High,Evening,Top-up,No,66.7,Cash,Medium,"Neither great nor terrible at the weekend doing some bits for dinner. at timesAlso, everyone looked stretched and the entrance and exits felt well managed. Help was available when i needed it. No major complaints, but nothing stood out either."
24,48381,Male,Fakenham,13.7,2.1,0.51,2,9,3,6,2,3,9,No,Medium,Evening,Weekly shop,No,58.8,Card,Very Low,"Honestly, this was a frustrating shop on my way home doing a few essentials. genuinelyproduce didn’t look fresh, and signage wasn’t clear. Left feeling quite annoyed."
34,24723,Male,Fakenham,7.7,1.5,0.67,2,12,2,4,2,0,2,Yes,Low,Morning,Top-up,No,65.8,Cash,Very High,
53,11604,Male,Wymondham,4.8,,0.66,2,4,3,21,14,4,5,Yes,Low,Afternoon,Bulk shop,No,39.9,Card,Very High,Top-notch service today at the weekend doing a full weekly shop. quitefresh items were well replenished and the entrance and exits felt well managed. I’d definitely recommend it.
33,63292,Prefer not to say,Dereham,4.1,0.7,0.77,2,8,1,3,7,1,3,Yes,Medium,Morning,Top-up,Yes,54.1,Card,Very High,
45,,Male,Wymondham,10.7,,0.2,2,16,2,2,2,0,3,Yes,Medium,Afternoon,Top-up,Yes,43.9,Cash,Low,
